method,name,period,distance
Transit,Kepler-1382 b,16.3583055,730
Transit,Kepler-1381 b,25.3842686,1306
Transit,Kepler-1380 b,10.3108245,1209
Transit,Kepler-1379 b,0.88184115,951
Transit,Kepler-1378 b,11.95398936,562
Transit,Kepler-1377 b,0.74092842,1019
Transit,Kepler-1376 b,5.30880656,864
Transit,Kepler-1375 b,3.3004192,1238
Transit,Kepler-1374 b,10.65276707,1135
Transit,Kepler-1373 b,1.29123275,1112
Transit,Kepler-1372 b,1.31155557,1161
Transit,Kepler-1371 c,2.00541269,450
Transit,Kepler-1371 b,3.4462039,450
Transit,Kepler-1370 c,7.44142113,878
Transit,Kepler-1370 b,20.2641684,878
Transit,Kepler-1369 b,25.873148,1236
Transit,Kepler-1368 b,0.67564949,1750
Transit,Kepler-1367 b,1.57409027,357
Transit,Kepler-1366 b,2.16457097,395
Transit,Kepler-1365 c,4.77468005,541
Transit,Kepler-1365 b,7.69993485,541
Transit,Kepler-1364 b,13.32196237,1149
Transit,Kepler-1363 b,2.94194094,559
Transit,Kepler-1362 b,136.205626,767
Transit,Kepler-1361 b,3.57554956,404
Transit,Kepler-1360 b,40.5286413,1405
Transit,Kepler-1359 b,59.4970952,669
Transit,Kepler-1358 b,7.06317341,558
Transit,Kepler-1357 b,3.0091324,1026
Transit,Kepler-1356 b,0.63400294,881
Transit,Kepler-1355 b,1.28958811,963
Transit,Kepler-1354 b,76.613377,1057
Transit,Kepler-1353 b,24.7543966,596
Transit,Kepler-1352 b,1.87788275,637
Transit,Kepler-1351 b,0.91614077,241
Transit,Kepler-1350 c,1.76678906,350
Transit,Kepler-1350 b,4.4968604,350
Transit,Kepler-1349 b,2.12823928,260
Transit,Kepler-1348 b,27.5722742,1033
Transit,Kepler-1347 b,14.00947528,321
Transit,Kepler-1346 b,3.40165668,1123
Transit,Kepler-1345 b,44.6169557,1164
Transit,Kepler-1344 b,4.7683049,851
Transit,Kepler-1343 b,3.35183158,1307
Transit,Kepler-1342 b,2.21571036,941
Transit,Kepler-1341 b,132.9968322,466
Transit,Kepler-1340 b,0.66502692,1421
Transit,Kepler-1339 b,1.34155513,267
Transit,Kepler-1338 b,0.93511806,619
Transit,Kepler-1337 b,24.4002549,588
Transit,Kepler-1336 c,5.77721211,822
Transit,Kepler-1336 b,23.198681,822
Transit,Kepler-1335 b,6.26406846,628
Transit,Kepler-1334 b,15.64591713,1047
Transit,Kepler-1333 b,109.6471842,958
Transit,Kepler-1332 b,11.87456832,515
Transit,Kepler-1331 b,0.78916165,365
Transit,Kepler-1330 b,10.10769068,939
Transit,Kepler-1329 b,9.33646594,624
Transit,Kepler-1328 b,4.52158888,630
Transit,Kepler-1327 b,14.88801098,688
Transit,Kepler-1326 b,42.3514267,910
Transit,Kepler-1325 b,33.8786838,955
Transit,Kepler-1324 b,4.11584468,522
Transit,Kepler-1323 b,0.92990668,530
Transit,Kepler-1322 b,0.96286738,1217
Transit,Kepler-1321 c,2.22649109,547
Transit,Kepler-1321 b,11.12830484,547
Transit,Kepler-1320 b,0.86838653,771
Transit,Kepler-1319 b,2.88676265,114
Transit,Kepler-1318 b,213.257663,475
Transit,Kepler-1317 b,0.56887443,734
Transit,Kepler-1316 b,87.9732136,753
Transit,Kepler-1315 b,0.84338011,505
Transit,Kepler-1314 b,5.42474928,462
Transit,Kepler-1313 b,3.83309118,187
Transit,Kepler-1312 b,5.44832529,305
Transit,Kepler-1311 c,2.53573424,705
Transit,Kepler-1311 b,11.1726994,705
Transit,Kepler-1310 b,0.67933627,583
Transit,Kepler-1309 b,28.8432647,845
Transit,Kepler-1308 b,2.10433812,73
Transit,Kepler-1307 b,18.01621096,1396
Transit,Kepler-1306 b,16.29595382,1130
Transit,Kepler-1305 b,13.5630972,1343
Transit,Kepler-1304 b,16.1288853,682
Transit,Kepler-1303 b,7.56127224,905
Transit,Kepler-1302 b,8.83922659,727
Transit,Kepler-1301 b,9.08237046,816
Transit,Kepler-1300 b,22.2419092,757
Transit,Kepler-1299 b,19.9400874,1352
Transit,Kepler-1298 b,7.12811928,498
Transit,Kepler-1297 b,1.68189002,996
Transit,Kepler-1296 b,8.3839865,631
Transit,Kepler-1295 b,3.81371974,1257
Transit,Kepler-1294 b,115.6862258,1120
Transit,Kepler-1293 b,5.57654784,770
Transit,Kepler-1292 b,3.27646405,1406
