method,method_index,name,period,distance
Radial Velocity,7,HD 86264 b,1,475,73
Radial Velocity,7,HD 86950 b,1,270,169
Radial Velocity,7,HD 87646 b,13,74
Radial Velocity,7,HD 87883 b,2,754,18
Radial Velocity,7,HD 88133 b,3,74
Radial Velocity,7,HD 89307 b,2,166,31
Radial Velocity,7,HD 89744 b,257,39
Radial Velocity,7,HD 90156 b,50,22
Radial Velocity,7,HD 92788 b,326,32
Radial Velocity,7,HD 93083 b,144,29
Radial Velocity,7,HD 95089 b,507,149
Radial Velocity,7,HD 95127 b,482,332
Radial Velocity,7,HD 95872 b,4,375,8
Radial Velocity,7,HD 96063 b,361,133
Radial Velocity,7,HD 96127 b,647,221
Radial Velocity,7,HD 96167 b,499,84
Radial Velocity,7,HD 97658 b,9,21
Radial Velocity,7,HD 98219 b,437,150
Radial Velocity,7,HD 98649 b,4,951,43
Radial Velocity,7,HD 99109 b,439,60
Radial Velocity,7,HD 99492 b,17,56
Radial Velocity,7,HD 99706 b,868,131
Radial Velocity,7,HD 100655 b,158,141
Radial Velocity,7,HD 100777 b,384,53
Radial Velocity,7,HD 101930 b,70,31
Radial Velocity,7,HD 102117 b,21,42
Radial Velocity,7,HD 102195 b,4,29
Radial Velocity,7,HD 102272 b,128,164
Radial Velocity,7,HD 102329 b,778,139
Radial Velocity,7,HD 102365 b,122,9
Radial Velocity,7,HD 102956 b,6,121
Radial Velocity,7,HD 103197 b,48,49
Radial Velocity,7,HD 103720 b,5,42
Radial Velocity,7,HD 103774 b,6,53
Radial Velocity,7,HD 104067 b,56,21
Radial Velocity,7,HD 104985 b,200,102
Radial Velocity,7,HD 106252 b,1,531,37
Radial Velocity,7,HD 106270 b,2,890,88
Radial Velocity,7,HD 106515 A b,3,630,36
Radial Velocity,7,HD 107148 b,48,51
Radial Velocity,7,HD 108147 b,11,39
Radial Velocity,7,HD 108341 b,1,129,49
Radial Velocity,7,HD 108863 b,443,139
Radial Velocity,7,HD 108874 b,394,69
Radial Velocity,7,HD 108874 c,1,624,69
Radial Velocity,7,HD 109246 b,68,66
Radial Velocity,7,HD 109271 b,8,57
Radial Velocity,7,HD 109271 c,31,57
Radial Velocity,7,HD 109749 b,5,59
Radial Velocity,7,HD 110014 b,835,90
Radial Velocity,7,HD 111232 b,1,143,29
Radial Velocity,7,HD 111591 b,1,056,108
Radial Velocity,7,HD 111998 b,826,33
Radial Velocity,7,HD 113337 b,324,37
Radial Velocity,7,HD 113538 b,663,16
Radial Velocity,7,HD 113538 c,1,818,16
Radial Velocity,7,HD 113996 b,610,102
Radial Velocity,7,HD 114386 b,938,28
Radial Velocity,7,HD 114613 b,3,827,20
Radial Velocity,7,HD 114729 b,1,114,35
Radial Velocity,7,HD 114762 b,84,41
Radial Velocity,7,HD 114783 b,494,20
Radial Velocity,7,HD 116029 b,670,111
Radial Velocity,7,HD 117207 b,2,597,33
Radial Velocity,7,HD 117618 b,26,38
Radial Velocity,7,HD 118203 b,6,89
Radial Velocity,7,HD 120084 b,2,082,98
Radial Velocity,7,HD 121504 b,63,44
Radial Velocity,7,HD 125595 b,10,27
Radial Velocity,7,HD 125612 b,559,53
Radial Velocity,7,HD 125612 c,4,53
Radial Velocity,7,HD 125612 d,3,008,53
Radial Velocity,7,HD 126614 b,1,244,68
Radial Velocity,7,HD 128311 b,453,17
Radial Velocity,7,HD 128311 c,922,17
Radial Velocity,7,HD 128356 b,298,26
Radial Velocity,7,HD 129445 b,1,840,68
Radial Velocity,7,HD 130322 b,11,30
Radial Velocity,7,HD 131496 b,883,121
Radial Velocity,7,HD 131664 b,1,951,57
Radial Velocity,7,HD 132406 b,974,71
Radial Velocity,7,HD 132563 b,1,544,99
Radial Velocity,7,HD 133131 A b,649,47
Radial Velocity,7,HD 133131 A c,3,568,47
Radial Velocity,7,HD 133131 B b,5,769,47
Radial Velocity,7,HD 134987 b,258,22
Radial Velocity,7,HD 134987 c,5,000,22
Radial Velocity,7,HD 136418 b,464,106
Radial Velocity,7,HD 137388 A b,330,38
Radial Velocity,7,HD 139357 b,1,126,121
Radial Velocity,7,HD 141399 b,94,36
Radial Velocity,7,HD 141399 c,202,36
Radial Velocity,7,HD 141399 d,1,070,36
Radial Velocity,7,HD 141399 e,5,000,36
Radial Velocity,7,HD 141937 b,653,33
Radial Velocity,7,HD 142022 A b,1,928,36
Radial Velocity,7,HD 142245 b,1,299,106
Radial Velocity,7,HD 142415 b,386,35
Radial Velocity,7,HD 143105 b,2,49
Radial Velocity,7,HD 143361 b,1,046,66
Radial Velocity,7,HD 145377 b,104,55
Radial Velocity,7,HD 145457 b,176,126
Radial Velocity,7,HD 145934 b,2,730,240
Radial Velocity,7,HD 147018 b,44,43
Radial Velocity,7,HD 147018 c,1,008,43
